id,name,latitude,longitude
5567166877,Jammu and Kashmir House,28.6012454,77.2222072
5567166878,Safdarjung Madarasa,28.5866752,77.2128615
5567166881,Green Park Metro Station,28.5585815,77.2067183
5567166882,IIT Gate,28.5461885,77.2024247
5567166883,Unnamed Stop,28.5379323,77.1983693
5567166884,Mehrauli Terminal,28.5217907,77.1830587
5569030784,Airport bus station,28.5564084,77.0855582
5569795451,Qutub Minar,28.52655,77.1869393
5569852610,Yusuf Sarai,28.5624092,77.2072685
5575445727,"Rama Krishna Puram, Sector-12",28.5751655,77.1777702
5578382619,Nehru Place,28.547266,77.2538952
5584870725,Ashram,28.5733398,77.2573944
5584870726,Hazrat Nizamuddin Railway Station,28.5864131,77.2529822
5584871833,Unnamed Stop,28.5278478,77.2317032
5584872921,Ashram,28.5738117,77.2575022
5585958324,ITO,28.6277699,77.243304
5585958325,ITO,28.6278464,77.2444747
5585958326,Delhi Secretariat,28.6278888,77.2523778
5585958327,Ganesh Nagar,28.6209499,77.2849868
5585958328,Nehru Nagar,28.5685647,77.2539456
5586445480,Begampur,28.5365179,77.2096901
5586450402,Begumpur,28.5369782,77.2099406
5586450403,Aurobindo College,28.5327655,77.2047889
5586450515,Malviya Nagar,28.5344015,77.2096787
5586450858,Malviya Nagar,28.5343863,77.2095701
5586450860,Unnamed Stop,28.5367174,77.2118451
5587022726,Firoz Shah Road,28.6205984,77.2206956
5587022727,Kasturba Gandhi Marg Crossing,28.6219722,77.2238024
5587022728,Tilak Bridge,28.6252652,77.2386517
5587022729,Rainy Well,28.6279924,77.2609314
5592111622,Unnamed Stop,28.6184561,77.0313876
5592111623,Sai Baba Mandir,28.6136967,76.9993348
5592111624,Unnamed Stop,28.6130867,77.0334559
5592111929,Dwarka Sector 1,28.5942601,77.0738602
5592111931,MRV School Sector 13,28.6039183,77.038815
5592111938,Unnamed Stop,28.6199698,77.0182851
5592111939,Unnamed Stop,28.6181808,77.0132162
5592111940,Unnamed Stop,28.6147636,77.0033462
5592111941,नगली डेरी बस स्टैंड,28.6200613,77.0179014
5592111942,Kakrola Crossing,28.6181217,77.0318053
5592112806,Matiala Crossing,28.6049876,77.0517999
5592112807,Delhi Public School Matiyala,28.6044932,77.0463825
5592113890,Dwarka More,28.5927817,77.0795025
5592114007,Jhori Mal International School,28.5953137,77.0703075
5592114008,Madhu Vihar,28.599782,77.0611733
5592114084,Arjun Path,28.5747386,77.1474333
5592114100,Raja Puri,28.6036878,77.0552404
5592114101,Dwarka Sector ?,28.602684,77.0432335
5592114102,Dwarka Sector 13/3 Crossing,28.6024558,77.0409916
5592114103,Dwarka Sector 13 MIG Flats,28.6055417,77.0364103
5592114104,Unnamed Stop,28.6183884,77.013154
5592114105,Unnamed Stop,28.6193262,77.0279262
5592114110,NSUT,28.6082819,77.0350079
5592114111,Dwarka Sector 13/3 Crossing,28.6026251,77.0411234
5592114112,Delhi Public School Matiyala,28.6046178,77.0461564
5592114115,Dwarka Sector 2 and 6,28.5973005,77.0654148
5592115163,Unnamed Stop,28.6145411,77.0035288
5592115432,Unnamed Stop,28.6202256,77.0240146
5592115433,Unnamed Stop,28.6027377,77.0430028
5592115434,Matiyala Crossing,28.6051684,77.0519842
5592115435,Dwarka Sector 2 and 6,28.5973447,77.0648046
5592115437,Manglapuri Terminal,28.589967,77.0858039
5592115633,Sector 13 Dwarka,28.6058267,77.0363145
5592115634,Dwarka Sector 13 MRV School,28.6040391,77.0390183
5592115637,Raja Puri,28.6041818,77.0548072
5592115638,Madhu Vihar,28.5998994,77.0613928
5592115639,Dwarka Sector 1,28.5944933,77.0734408
5592115640,Health Centre,28.5918979,77.0812824
5592717074,Arjun Path,28.5752651,77.1474673
5592717075,Arjun Path,28.5753133,77.1471964
5592717076,Arjun Path,28.5747351,77.1475464
5592717078,Kakrola More,28.6189473,77.0294964
5592717079,Suraj Vihar,28.6134029,77.03311
5592717080,NSUT / Sulahkul Mandir,28.6075397,77.0350116
5598792340,Adchini,28.5374663,77.1981531
5598792341,Unnamed Stop,28.5281866,77.2091309
5598795739,Adchini,28.5375512,77.1979595
5598795740,Geetanjali,28.5306259,77.19959
5600439310,Jharera Village,28.5797517,77.1448049
5604863093,Unnamed Stop,28.5379298,77.1365681
5604863094,Unnamed Stop,28.5464897,77.1248436
5604863095,Unnamed Stop,28.5347913,77.1086513
5604863096,Kapashera Village,28.5234692,77.0833239
5604863098,Vasant Kunj C8,28.5367804,77.1401449
5604863099,Kathuria Public School,28.5310249,77.1465383
5604863100,Andheria Crossing,28.5092028,77.1789037
5604863163,Unnamed Stop,28.516831,77.1615871
5604863763,Kapashera Crossing,28.5312381,77.0880379
5604863765,Rangpuri,28.5439303,77.1178426
5604863771,Unnamed Stop,28.5251959,77.1549387
5604865248,Unnamed Stop,28.5169346,77.1610503
5604865249,Unnamed Stop,28.5280742,77.1494118
5604865250,Unnamed Stop,28.5415667,77.1294188
5604865254,Unnamed Stop,28.5450066,77.1280823
5604865255,Unnamed Stop,28.5282754,77.1504548
5604865256,Ahinsa Sthal,28.5204785,77.1893901
5604865343,Unnamed Stop,28.5115469,77.1669827
5604865344,Unnamed Stop,28.5251906,77.1546593
5604866738,ISIC Hospital,28.5339333,77.142426
5604866823,Unnamed Stop,28.5292045,77.0867645
5604866831,ISIC Hospital,28.534045,77.1425592
5604866832,Vasant Kunj B-1,28.5228067,77.1572322
5604866833,Unnamed Stop,28.5146405,77.1642701
5604866834,Andheria Not,28.5085988,77.1771193
5604868039,Unnamed Stop,28.5380735,77.1365351
5604868040,Vasant Kunj C8,28.5366945,77.1398974
5606765873,Vasant Vihar Depot,28.5580003,77.1696737
5606765874,Shopping Center - Nelson Mandela Marg,28.5394317,77.1561571
5606765875,Vasant Kunj Police Station,28.5356514,77.1528802
5606765911,"Sector B-11, Vasant Kunj",28.5330543,77.151733
5606765912,Bhatnagar Public School,28.5309761,77.1539049
5606766126,Vasant Kunj Police Station,28.5354771,77.153153
5606766127,"Sector B-11, Vasant Kunj",28.5330599,77.1519912
5606766128,Bhatnagar Public School,28.5312817,77.1534878
5606766133,Vasant Kunj B 8 and 9,28.5287985,77.1574057
5606766195,Unnamed Stop,28.5103793,77.1694181
5606766196,Unnamed Stop,28.5094775,77.1787297
5606766664,DDA Flats Munirka,28.5562727,77.1678437
5606766670,Goenka Public School,28.5281794,77.1560714
5606766679,Kishangarh 2,28.5222845,77.1681822
5606766684,Goenka Public School,28.5280966,77.1558858
5616731668,GGS Indraprastha University,28.6655419,77.2302068
5616751197,GPO,28.661925,77.2344419
5623614865,Fertilizer Association of India,28.5436483,77.1800515
5623615663,Rama Krishna Puram Sector 1,28.5628737,77.178401
5630006492,Unnamed Stop,28.5229226,77.2164353
5630006493,Press Enclave,28.5278586,77.2078738
5634504209,Krishi Kunj,28.6372399,77.1465112
5634522760,Police Station Mandir Marg,28.6387823,77.203394
5634522768,Karol Bagh,28.6439183,77.1890699
5634522771,Rajendra Place,28.6426023,77.1800983
5634522773,East Patel Nagar,28.6405608,77.1744431
5634522779,NPL Colony,28.6373672,77.1746579
5634522900,Police Station Mandir Marg,28.6374378,77.2030487
5634523002,Windsor Place,28.6176172,77.218652
